Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
BAC,Bank of America Corporation,buy,1.54167,22.0,63.17,68.77273,8.9
SNDK,Sandisk Corporation,buy,1.54167,23.0,1568.87,2107.6956,34.3
COF,Capital One Financial Corporati,buy,1.54167,22.0,220.73,257.5909,16.7
CEG,Constellation Energy Corporatio,buy,1.54545,20.0,274.17,348.454,27.1
ADI,"Analog Devices, Inc.",buy,1.54545,30.0,373.26,457.73334,22.6
AVY,Avery Dennison Corporation,buy,1.54545,10.0,183.16,201.8,10.2
BKNG,Booking Holdings Inc. Common St,buy,1.55263,36.0,213.0,237.80556,11.6
BG,Bunge Limited,buy,1.55556,9.0,114.0,141.22221,23.9
MCHP,Microchip Technology Incorporat,buy,1.56,24.0,77.08,109.20833,41.7
AMT,American Tower Corporation (REI,buy,1.56,23.0,174.49,215.43478,23.5
NEM,Newmont Corporation,buy,1.56522,21.0,125.08,132.43857,5.9
COR,"Cencora, Inc.",buy,1.57143,12.0,317.1,372.58334,17.5
WDC,Western Digital Corporation,buy,1.57692,24.0,462.09,664.9167,43.9
EXE,Expand Energy Corporation,buy,1.57692,25.0,96.03,125.52,30.7
GEV,GE Vernova Inc.,buy,1.57895,33.0,987.46,1239.4622,25.5
SRE,DBA Sempra,buy,1.57895,17.0,85.59,104.61765,22.2
RL,Ralph Lauren Corporation,buy,1.57895,17.0,377.96,446.70587,18.2
BSX,Boston Scientific Corporation,buy,1.58065,29.0,52.01,62.68966,20.5
WMT,Walmart Inc.,buy,1.5814,40.0,114.3,137.925,20.7
DD,"DuPont de Nemours, Inc.",buy,1.58824,16.0,139.68,170.0001,21.7
TER,"Teradyne, Inc.",buy,1.58824,15.0,379.65,449.8,18.5
KKR,KKR & Co. Inc.,buy,1.59091,20.0,110.46,126.526,14.5
ORCL,Oracle Corporation,buy,1.59091,41.0,143.81,246.42635,71.4
UNH,UnitedHealth Group Incorporated,buy,1.59259,26.0,388.61,475.23077,22.3
ABT,Abbott Laboratories,buy,1.59259,25.0,114.43,119.4,4.3
APTV,Aptiv PLC,buy,1.6,18.0,48.92,66.61111,36.2
NI,NiSource Inc,buy,1.6,14.0,41.63,50.07143,20.3
PPL,PPL Corporation,buy,1.6,14.0,35.49,41.35714,16.5
EME,"EMCOR Group, Inc.",buy,1.6,7.0,805.78,1033.2858,28.2
ECL,Ecolab Inc.,buy,1.6,21.0,285.62,324.66666,13.7
SLB,SLB Limited,buy,1.6,29.0,53.55,61.93103,15.7
APP,Applovin Corporation,buy,1.60606,31.0,310.79,546.5806,75.9
VTR,"Ventas, Inc.",buy,1.6087,22.0,91.85,100.45455,9.4
DOV,Dover Corporation,buy,1.61111,18.0,202.38,246.88889,22.0
CFG,"Citizens Financial Group, Inc.",buy,1.61111,17.0,70.76,80.58824,13.9
ETN,"Eaton Corporation, PLC",buy,1.61538,24.0,424.67,476.42792,12.2
VRTX,Vertex Pharmaceuticals Incorpor,buy,1.62069,25.0,552.06,563.12,2.0
NRG,"NRG Energy, Inc.",buy,1.625,16.0,120.58,189.4375,57.1
CCL,Carnival Corporation Ltd.,buy,1.63333,25.0,26.69,35.548,33.2
PANW,"Palo Alto Networks, Inc.",buy,1.63636,50.0,359.76,347.974,-3.3
DASH,"DoorDash, Inc.",buy,1.63636,42.0,220.22,251.94048,14.4
COHR,Coherent Corp.,buy,1.63636,21.0,287.47,410.76,42.9
LYV,"Live Nation Entertainment, Inc.",buy,1.64,24.0,184.19,201.95833,9.6
COP,ConocoPhillips,buy,1.64,24.0,130.58,144.5,10.7
EW,Edwards Lifesciences Corporatio,buy,1.64286,26.0,92.28,100.96154,9.4
MSI,"Motorola Solutions, Inc.",buy,1.64286,11.0,480.84,522.7273,8.7
LHX,"L3Harris Technologies, Inc.",buy,1.64706,11.0,277.11,341.72726,23.3
CMG,"Chipotle Mexican Grill, Inc.",buy,1.64706,32.0,34.66,43.79688,26.4
WY,Weyerhaeuser Company,buy,1.66667,11.0,24.62,31.27273,27.0
BALL,Ball Corporation,buy,1.66667,14.0,62.62,72.57143,15.9
A,"Agilent Technologies, Inc.",buy,1.66667,19.0,155.41,160.10526,3.0
CI,The Cigna Group,buy,1.66667,24.0,277.45,341.41666,23.1
CPAY,"Corpay, Inc.",buy,1.66667,14.0,407.08,450.64285,10.7
LH,Labcorp Holdings Inc.,buy,1.66667,16.0,330.44,337.75,2.2
ABBV,AbbVie Inc.,buy,1.67742,29.0,265.97,276.4138,3.9
SYK,Stryker Corporation,buy,1.67857,25.0,339.98,382.88,12.6
HOOD,"Robinhood Markets, Inc.",buy,1.67857,26.0,95.77,120.00769,25.3
CRM,"Salesforce, Inc.",buy,1.67925,54.0,206.09,242.74352,17.8
PH,Parker-Hannifin Corporation,buy,1.68,23.0,1023.25,1160.9535,13.5
GILD,"Gilead Sciences, Inc.",buy,1.68966,27.0,147.6,157.40741,6.6
FCX,"Freeport-McMoRan, Inc.",buy,1.69565,22.0,69.09,71.72727,3.8
