Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
ORLY,"O'Reilly Automotive, Inc.",buy,1.53571,25,85.82,107.8,25.6
BA,Boeing Company (The),buy,1.53571,26,210.45,274.84616,30.6
WDC,Western Digital Corporation,buy,1.53846,24,447.18,664.9167,48.7
MCHP,Microchip Technology Incorporat,buy,1.53846,25,74.2,108.64,46.4
GEV,GE Vernova Inc.,buy,1.54054,33,957.27,1237.341,29.3
COF,Capital One Financial Corporati,buy,1.54167,22,208.3,258.27274,24.0
BAC,Bank of America Corporation,buy,1.54167,21,62.69,69.0,10.1
ECL,Ecolab Inc.,buy,1.54167,21,276.18,324.9524,17.7
SNDK,Sandisk Corporation,buy,1.54167,23,1633.35,2125.087,30.1
AVY,Avery Dennison Corporation,buy,1.54545,10,169.38,201.8,19.1
XYZ,"Block, Inc.",buy,1.55319,42,79.21,98.30952,24.1
BG,Bunge Limited,buy,1.55556,9,122.41,141.77779,15.8
UNH,UnitedHealth Group Incorporated,buy,1.55556,26,379.09,475.23077,25.4
NRG,"NRG Energy, Inc.",buy,1.5625,16,113.46,188.75,66.4
NEM,Newmont Corporation,buy,1.56522,21,126.81,132.86714,4.8
UBER,"Uber Technologies, Inc.",buy,1.56863,47,71.67,101.21489,41.2
APTV,Aptiv PLC,buy,1.57143,18,45.54,66.61111,46.3
APP,Applovin Corporation,buy,1.57576,31,323.96,508.3871,56.9
SRE,DBA Sempra,buy,1.57895,17,83.34,101.82353,22.2
BSX,Boston Scientific Corporation,buy,1.58065,29,42.98,62.41379,45.2
IP,International Paper Company,buy,1.58333,11,34.36,47.81818,39.2
KEYS,Keysight Technologies Inc.,buy,1.58333,12,338.64,415.08334,22.6
TJX,"TJX Companies, Inc. (The)",buy,1.59091,20,126.02,169.8,34.7
KKR,KKR & Co. Inc.,buy,1.59091,20,101.08,128.67,27.3
SLB,SLB Limited,buy,1.6,29,56.06,62.24138,11.0
NI,NiSource Inc,buy,1.6,14,41.41,49.85714,20.4
CASY,"Caseys General Stores, Inc.",buy,1.6,18,615.47,811.3333,31.8
ORCL,Oracle Corporation,buy,1.60465,41,150.28,239.0961,59.1
VTR,"Ventas, Inc.",buy,1.6087,22,89.99,101.86364,13.2
COHR,Coherent Corp.,buy,1.6087,22,305.37,415.36197,36.0
CFG,"Citizens Financial Group, Inc.",buy,1.61111,17,70.48,81.47059,15.6
MCK,McKesson Corporation,buy,1.61111,15,881.51,980.73334,11.3
EW,Edwards Lifesciences Corporatio,buy,1.62069,26,84.37,100.96154,19.7
CCL,Carnival Corporation Ltd.,buy,1.63333,26,22.75,35.29615,55.1
DASH,"DoorDash, Inc.",buy,1.64444,43,201.95,255.06976,26.3
TER,"Teradyne, Inc.",buy,1.64706,15,379.72,446.46667,17.6
PANW,"Palo Alto Networks, Inc.",buy,1.65455,50,330.65,393.42,19.0
HOOD,"Robinhood Markets, Inc.",buy,1.65517,27,112.57,129.26443,14.8
BALL,Ball Corporation,buy,1.66667,14,59.9,72.57143,21.2
WY,Weyerhaeuser Company,buy,1.66667,11,22.06,31.0,40.5
EFX,"Equifax, Inc.",buy,1.66667,21,169.0,214.95238,27.2
AXON,"Axon Enterprise, Inc.",buy,1.66667,19,479.34,706.2105,47.3
VRTX,Vertex Pharmaceuticals Incorpor,buy,1.67742,27,515.44,569.1852,10.4
ABBV,AbbVie Inc.,buy,1.67742,29,257.12,277.31033,7.9
SYK,Stryker Corporation,buy,1.67857,25,275.56,376.28,36.6
LIN,Linde plc,buy,1.67857,25,466.22,544.4,16.8
WAT,Waters Corporation,buy,1.68,24,408.34,442.70834,8.4
PH,Parker-Hannifin Corporation,buy,1.68,23,950.23,1160.9535,22.2
WELL,Welltower Inc.,buy,1.68182,22,235.62,261.5909,11.0
CPAY,"Corpay, Inc.",buy,1.6875,15,408.22,461.0,12.9
PM,Philip Morris International Inc,buy,1.6875,15,191.06,207.26666,8.5
CRWD,"CrowdStrike Holdings, Inc.",buy,1.69811,50,206.74,234.09,13.2
AME,"AMETEK, Inc.",buy,1.7,18,241.87,278.33334,15.1
LLY,Eli Lilly and Company,buy,1.7,29,1115.7,1318.6614,18.2
TMUS,"T-Mobile US, Inc.",buy,1.7037,24,182.33,243.375,33.5
BKR,Baker Hughes Company,buy,1.70833,23,59.06,72.21739,22.3
MCO,Moody's Corporation,buy,1.70833,21,474.95,561.9048,18.3
CVX,Chevron Corporation,buy,1.72,24,214.06,221.20833,3.3
CI,The Cigna Group,buy,1.72,25,280.76,339.36,20.9
MDT,Medtronic plc.,buy,1.72414,25,90.96,104.76,15.2
IRM,Iron Mountain Incorporated (Del,buy,1.72727,10,115.18,146.2,26.9
SCHW,Charles Schwab Corporation (The,buy,1.72727,20,107.25,124.95,16.5
AJG,Arthur J. Gallagher & Co.,buy,1.72727,18,240.32,291.72223,21.4
GM,General Motors Company,buy,1.73077,25,85.62,101.64,18.7
IEX,IDEX Corporation,buy,1.73333,14,224.21,255.92857,14.1
COR,"Cencora, Inc.",buy,1.73333,13,321.57,369.30768,14.8
GEHC,GE HealthCare Technologies Inc.,buy,1.73684,18,63.93,82.5,29.0
ETR,Entergy Corporation,buy,1.73913,20,105.33,123.025,16.8
A,"Agilent Technologies, Inc.",buy,1.73913,21,146.93,174.95238,19.1
COP,ConocoPhillips,buy,1.74074,25,137.35,145.44,5.9
CMG,"Chipotle Mexican Grill, Inc.",buy,1.74286,32,36.2,43.85938,21.2
MRK,"Merck & Company, Inc.",buy,1.75,26,143.93,152.96153,6.3
WM,"Waste Management, Inc.",buy,1.75,25,213.46,259.92,21.8
CRL,Charles River Laboratories Inte,buy,1.75,14,278.26,282.42856,1.5
GILD,"Gilead Sciences, Inc.",buy,1.75,27,143.72,158.14815,10.0
HAL,Halliburton Company,buy,1.75,25,35.84,43.12,20.3
KO,Coca-Cola Company (The),buy,1.75,23,88.29,94.69565,7.3
TDY,Teledyne Technologies Incorpora,buy,1.75,12,603.79,757.25,25.4
CRM,"Salesforce, Inc.",buy,1.75,54,247.72,273.37314,10.4
ROST,"Ross Stores, Inc.",buy,1.75,18,230.74,269.94443,17.0
RCL,Royal Caribbean Cruises Ltd.,buy,1.75,26,260.14,346.92307,33.4
CHRW,"C.H. Robinson Worldwide, Inc.",buy,1.76,25,152.78,199.4,30.5
WTW,Willis Towers Watson Public Lim,buy,1.7619,19,315.61,379.94736,20.4
FITB,Fifth Third Bancorp,buy,1.7619,20,54.72,62.9,14.9
APO,"Apollo Global Management, Inc. ",buy,1.7619,19,128.98,153.47368,19.0
GNRC,Generac Holdlings Inc.,buy,1.7619,16,186.99,283.875,51.8
LH,Labcorp Holdings Inc.,buy,1.76471,16,311.54,343.3125,10.2
NDAQ,"Nasdaq, Inc.",buy,1.76471,15,91.19,109.66667,20.3
URI,"United Rentals, Inc.",buy,1.77273,21,989.12,1269.3334,28.3
TPR,"Tapestry, Inc.",buy,1.77273,20,118.49,166.5,40.5
ELV,"Elevance Health, Inc.",buy,1.77273,21,418.72,450.0476,7.5
ISRG,"Intuitive Surgical, Inc.",buy,1.78125,29,369.15,476.34482,29.0
FCX,"Freeport-McMoRan, Inc.",buy,1.78261,22,71.07,72.04545,1.4
TEL,TE Connectivity plc,buy,1.78947,19,211.96,247.36842,16.7
NXPI,NXP Semiconductors N.V.,buy,1.8,29,236.62,311.10345,31.5
CDW,CDW Corporation,buy,1.8,9,153.79,158.88889,3.3
LOW,"Lowe's Companies, Inc.",buy,1.8,33,196.82,252.30302,28.2
UNP,Union Pacific Corporation,buy,1.8,24,284.4,329.25,15.8
HBAN,Huntington Bancshares Incorpora,buy,1.8,19,16.86,20.3,20.4
