Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
EQTL3.SA,EQUATORIAL  ON      NM,strong_buy,1.35714,14,35.77,51.44714,43.8
SUZLON.NS,SUZLON ENERGY LIMITED,strong_buy,1.38462,13,46.71,62.25846,33.3
CWEN,"Clearway Energy, Inc.",strong_buy,1.41667,12,32.56,43.5,33.6
600025.SS,HUANENG LANCANG RIVER HYDROPOWE,strong_buy,1.42857,5,9.58,10.222,6.7
600900.SS,CHINA YANGTZE POWER CO,strong_buy,1.4375,12,27.96,32.78333,17.3
NXT,Nextpower Inc.,strong_buy,1.46429,27,86.18,141.51852,64.2
9502.T,CHUBU ELECTRIC POWER CO INC,buy,1.8,5,2906.5,3130.0,7.7
