Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
COF,Capital One Financial Corporati,buy,1.54167,22.0,217.91,257.36365,18.1
BAC,Bank of America Corporation,buy,1.54167,22.0,61.69,68.77273,11.5
LITE,Lumentum Holdings Inc.,buy,1.54167,24.0,866.71,1148.303,32.5
CEG,Constellation Energy Corporatio,buy,1.54545,20.0,272.88,347.504,27.3
AVY,Avery Dennison Corporation,buy,1.54545,10.0,183.71,201.8,9.8
BKNG,Booking Holdings Inc. Common St,buy,1.55263,36.0,209.62,237.80556,13.4
BG,Bunge Limited,buy,1.55556,9.0,113.11,141.22221,24.9
MCHP,Microchip Technology Incorporat,buy,1.56,24.0,76.08,109.20833,43.5
AMT,American Tower Corporation (REI,buy,1.56,23.0,175.8,215.69565,22.7
NRG,"NRG Energy, Inc.",buy,1.5625,16.0,113.11,188.75,66.9
NEM,Newmont Corporation,buy,1.56522,21.0,131.58,132.43857,0.7
WDC,Western Digital Corporation,buy,1.57692,24.0,459.44,664.9167,44.7
ETN,"Eaton Corporation, PLC",buy,1.57692,24.0,419.2,476.42792,13.7
EXE,Expand Energy Corporation,buy,1.57692,25.0,96.09,125.0,30.1
SRE,DBA Sempra,buy,1.57895,17.0,82.89,104.61765,26.2
GEV,GE Vernova Inc.,buy,1.57895,33.0,956.85,1236.4318,29.2
BSX,Boston Scientific Corporation,buy,1.58065,29.0,50.37,62.68966,24.5
WMT,Walmart Inc.,buy,1.5814,38.0,103.7,137.94737,33.0
KEYS,Keysight Technologies Inc.,buy,1.58333,12.0,316.13,415.08334,31.3
TER,"Teradyne, Inc.",buy,1.58824,15.0,375.74,449.8,19.7
DD,"DuPont de Nemours, Inc.",buy,1.58824,16.0,138.33,170.0001,22.9
ORCL,Oracle Corporation,buy,1.59091,41.0,146.47,246.42635,68.2
KKR,KKR & Co. Inc.,buy,1.59091,20.0,108.48,126.626,16.7
UNH,UnitedHealth Group Incorporated,buy,1.59259,26.0,390.11,475.23077,21.8
ABT,Abbott Laboratories,buy,1.59259,25.0,116.64,119.4,2.4
PPL,PPL Corporation,buy,1.6,14.0,34.38,41.28571,20.1
APTV,Aptiv PLC,buy,1.6,18.0,48.28,66.61111,38.0
ECL,Ecolab Inc.,buy,1.6,21.0,281.63,324.9524,15.4
EME,"EMCOR Group, Inc.",buy,1.6,7.0,776.62,1033.2858,33.0
NI,NiSource Inc,buy,1.6,14.0,40.62,50.07143,23.3
SLB,SLB Limited,buy,1.6,29.0,53.87,61.93103,15.0
APP,Applovin Corporation,buy,1.60606,31.0,305.77,528.3226,72.8
VTR,"Ventas, Inc.",buy,1.6087,22.0,93.06,100.45455,7.9
MCK,McKesson Corporation,buy,1.61111,16.0,858.9,986.9375,14.9
DOV,Dover Corporation,buy,1.61111,18.0,201.92,246.88889,22.3
CFG,"Citizens Financial Group, Inc.",buy,1.61111,17.0,69.86,80.82353,15.7
VRTX,Vertex Pharmaceuticals Incorpor,buy,1.62069,25.0,548.05,563.12,2.7
CCL,Carnival Corporation Ltd.,buy,1.63333,25.0,25.73,35.548,38.2
PANW,"Palo Alto Networks, Inc.",buy,1.63636,50.0,357.87,357.554,-0.1
COHR,Coherent Corp.,buy,1.63636,21.0,289.52,416.09348,43.7
DASH,"DoorDash, Inc.",buy,1.63636,42.0,223.49,251.94048,12.7
COP,ConocoPhillips,buy,1.64,24.0,134.87,144.29167,7.0
LYV,"Live Nation Entertainment, Inc.",buy,1.64,24.0,181.82,201.95833,11.1
MSI,"Motorola Solutions, Inc.",buy,1.64286,11.0,480.47,522.7273,8.8
EW,Edwards Lifesciences Corporatio,buy,1.64286,26.0,89.79,100.96154,12.4
LHX,"L3Harris Technologies, Inc.",buy,1.64706,11.0,266.73,341.72726,28.1
CMG,"Chipotle Mexican Grill, Inc.",buy,1.64706,32.0,36.9,43.79688,18.7
CASY,"Caseys General Stores, Inc.",buy,1.65,18.0,835.74,957.3889,14.6
CI,The Cigna Group,buy,1.66667,24.0,277.51,341.41666,23.0
LH,Labcorp Holdings Inc.,buy,1.66667,16.0,336.34,337.75,0.4
A,"Agilent Technologies, Inc.",buy,1.66667,19.0,159.0,160.10526,0.7
CPAY,"Corpay, Inc.",buy,1.66667,14.0,417.13,450.64285,8.0
WY,Weyerhaeuser Company,buy,1.66667,11.0,24.43,31.27273,28.0
COR,"Cencora, Inc.",buy,1.66667,13.0,318.04,369.30768,16.1
ABBV,AbbVie Inc.,buy,1.67742,29.0,264.96,276.5862,4.4
HOOD,"Robinhood Markets, Inc.",buy,1.67857,26.0,108.13,119.93077,10.9
SYK,Stryker Corporation,buy,1.67857,25.0,329.45,382.72,16.2
CRM,"Salesforce, Inc.",buy,1.67925,52.0,209.17,243.0798,16.2
