Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
EQTL3.SA,EQUATORIAL  ON      NM,strong_buy,1.35714,14,36.75,51.87571,41.2
SUZLON.NS,SUZLON ENERGY LIMITED,strong_buy,1.38462,13,46.79,62.25846,33.1
CWEN,"Clearway Energy, Inc.",strong_buy,1.41667,12,31.76,43.5,37.0
NXT,Nextpower Inc.,strong_buy,1.42857,27,85.44,141.51852,65.6
600025.SS,HUANENG LANCANG RIVER HYDROPOWE,strong_buy,1.42857,5,9.56,10.222,6.9
600900.SS,CHINA YANGTZE POWER CO,strong_buy,1.4375,12,28.05,32.78333,16.9
9502.T,CHUBU ELECTRIC POWER CO INC,buy,1.8,5,2841.0,3130.0,10.2
