Ticker,Company,RecommendationKey,RecommendationMean,NumAnalysts,Price,TargetMeanPrice,UpsidePct
EQTL3.SA,EQUATORIAL  ON  ATZ NM,strong_buy,1.35714,14,39.65,52.50429,32.4
SUZLON.NS,SUZLON ENERGY LIMITED,strong_buy,1.38462,13,44.12,62.25846,41.1
CWEN,"Clearway Energy, Inc.",strong_buy,1.38462,13,31.14,42.07692,35.1
600025.SS,HUANENG LANCANG RIVER HYDROPOWE,strong_buy,1.42857,5,9.83,10.222,4.0
600900.SS,CHINA YANGTZE POWER CO,strong_buy,1.4375,12,28.45,32.7575,15.1
NXT,Nextpower Inc.,strong_buy,1.44828,28,82.89,140.60715,69.6
ENGI11.SA,ENERGISA    UNT     N2,strong_buy,1.5,13,51.61,65.54077,27.0
EDP.LS,"EDP, SA",buy,1.68182,22,4.796,5.21591,8.8
NDX1.DE,Nordex SE                     I,buy,1.73333,15,39.38,49.30667,25.2
